PeakID (cmd=annotatePeaks.pl PLACseq_anchor2.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1909	chr5	140600001	140650000	+	0	NA	intron (NM_001308040, intron 12 of 12)	intron (NM_001308040, intron 12 of 12)	17659	NM_008494	16848	Mm.12834	NM_008494	ENSMUSG00000029570	Lfng	AW061165	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein-coding
1598	chr6	148900001	148950000	+	0	NA	intron (NM_001355645, intron 5 of 5)	intron (NM_001355645, intron 5 of 5)	19826	NM_001355645	56306	Mm.18637	NM_019643	ENSMUSG00000039985	Sinhcaf	Fam60a|Ppcs1|Pptcs1|Tera	SIN3-HDAC complex associated factor	protein-coding
1232	chr3	90350001	90400000	+	0	NA	Intergenic	B2_Mm1t|SINE|B2	14938	NM_011988	26568	Mm.45519	NM_011988	ENSMUSG00000027932	Slc27a3	Acsvl3|FATP-3|FATP3|Vlcs-3	solute carrier family 27 (fatty acid transporter), member 3	protein-coding
248	chr1	169900001	169950000	+	0	NA	Intergenic	RSINE1|SINE|B4	-3939	NM_001033185	78465	Mm.291078	NM_001033185	ENSMUSG00000070532	Ccdc190	1700084C01Rik	coiled-coil domain containing 190	protein-coding
1699	chr7	117600001	117650000	+	0	NA	intron (NM_175645, intron 6 of 11)	intron (NM_175645, intron 6 of 11)	244021	NM_175645	233781	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
1605	chr7	5550001	5600000	+	0	NA	Intergenic	L1Md_F2|LINE|L1	-29901	NM_001166732	636697	Mm.480267	NM_001166732	ENSMUSG00000118298	Vmn1r60	EG636697|Gm7184	vomeronasal 1 receptor 60	protein-coding
1794	chr4	135650001	135700000	+	0	NA	Intergenic	Intergenic	-11457	NM_174851	242700	Mm.259623	NM_174851	ENSMUSG00000062157	Ifnlr1	CRF2-12|Il28ra	interferon lambda receptor 1	protein-coding
954	chr9	78000001	78050000	+	0	NA	Intergenic	Intergenic	-26958	NM_008103	14531	Mm.1400	NM_008103	ENSMUSG00000023333	Gcm1	GCMa|Gcm-rs2|Gcm1-rs1|glide	glial cells missing homolog 1	protein-coding
1349	chr8	113600001	113650000	+	0	NA	Intergenic	Intergenic	-10586	NM_001048143	270096	Mm.74689	NM_173015	ENSMUSG00000078908	Mon1b	5031407H10|5033413H12Rik	MON1 homolog B, secretory traffciking associated	protein-coding
33	chr19	39850001	39900000	+	0	NA	intron (NM_001104525, intron 5 of 8)	intron (NM_001104525, intron 5 of 8)	11769	NM_001104525	100043108	Mm.482331	NM_001104525	ENSMUSG00000092008	Cyp2c69	AI098658	cytochrome P450, family 2, subfamily c, polypeptide 69	protein-coding
201	chr1	106000001	106050000	+	0	NA	intron (NM_001122676, intron 11 of 13)	intron (NM_001122676, intron 11 of 13)	34594	NM_001122676	227449	Mm.210188	NM_001122675	ENSMUSG00000038866	Zcchc2	9930114B20Rik|AW212015	zinc finger, CCHC domain containing 2	protein-coding
1533	chr6	85750001	85800000	+	0	NA	Intergenic	Intergenic	-9256	NM_001037842	93674	Mm.440772	NM_053097	ENSMUSG00000051262	Nat8f3	4833414A14Rik|4930583K21Rik|Cml3	N-acetyltransferase 8 (GCN5-related) family member 3	protein-coding
713	chr2	172400001	172450000	+	0	NA	intron (NM_001276422, intron 4 of 5)	ORR1F|LTR|ERVL-MaLR	-15578	NM_025542	66404	Mm.25157	NM_025542	ENSMUSG00000027502	Rtf2	1700067C04Rik|2410001C21Rik|5730427M17Rik|AA589417|Rtfdc1	replication termination factor 2	protein-coding
1083	chr13	102650001	102700000	+	0	NA	Intergenic	Intergenic	-18547	NM_001360519	17079	Mm.373974	NM_008533	ENSMUSG00000021624	Cd180	F630107B15|Ly-78|Ly78|RP105	CD180 antigen	protein-coding
1607	chr7	8600001	8650000	+	0	NA	Intergenic	L1Md_F2|LINE|L1	-136041	NM_001105075	100042810	Mm.469890	NM_001105075	ENSMUSG00000090662	Vmn2r45	-	vomeronasal 2, receptor 45	protein-coding
316	chr18	66450001	66500000	+	0	NA	Intergenic	Intergenic	16396	NM_021451	58801	Mm.271878	NM_021451	ENSMUSG00000024521	Pmaip1	Noxa	phorbol-12-myristate-13-acetate-induced protein 1	protein-coding
223	chr1	144350001	144400000	+	0	NA	Intergenic	L1_Mur2|LINE|L1	-125896	NM_015811	50778	Mm.103701	NM_015811	ENSMUSG00000026358	Rgs1	BL34	regulator of G-protein signaling 1	protein-coding
1593	chr6	144900001	144950000	+	0	NA	Intergenic	Intergenic	123812	NM_001024468	12035	Mm.4606	NM_007532	ENSMUSG00000030268	Bcat1	BCATc|Eca39	branched chain aminotransferase 1, cytosolic	protein-coding
1890	chr5	117900001	117950000	+	0	NA	intron (NM_008712, intron 17 of 27)	(TGGG)n|Simple_repeat|Simple_repeat	-51770	NM_001346588	231670	Mm.21912	NM_145564	ENSMUSG00000032898	Fbxo21	2810425J22Rik|AU016673	F-box protein 21	protein-coding
1205	chr3	54650001	54700000	+	0	NA	Intergenic	Intergenic	-17815	NR_152185	56790	Mm.486375	NM_019995	ENSMUSG00000027751	Supt20	AA667204|AI450544|D3Ertd300e|Fam48a|Supt20h|p38IP	suppressor of Ty 20	protein-coding
1223	chr3	83050001	83100000	+	0	NA	Intergenic	MTEa|LTR|ERVL-MaLR	19462	NM_016784	53317	Mm.286349	NM_016784	ENSMUSG00000027998	Plrg1	AA958940|C80566|Tango4	pleiotropic regulator 1	protein-coding
1361	chr8	128650001	128700000	+	0	NA	Intergenic	MTB|LTR|ERVL-MaLR	-10654	NM_010578	16412	Mm.263396	NM_010578	ENSMUSG00000025809	Itgb1	4633401G24Rik|AA409975|AA960159|CD29|Fnrb|Gm9863|gpIIa	integrin beta 1 (fibronectin receptor beta)	protein-coding
640	chr2	69050001	69100000	+	0	NA	intron (NM_172856, intron 8 of 9)	intron (NM_172856, intron 8 of 9)	-60800	NM_181547	329416	Mm.90047	NM_181547	ENSMUSG00000034738	Nostrin	Daip2|mDaIP2	nitric oxide synthase trafficker	protein-coding
1692	chr7	110600001	110650000	+	0	NA	Intergenic	Intergenic	-2657	NM_009627	11535	Mm.1408	NM_009627	ENSMUSG00000030790	Adm	AM	adrenomedullin	protein-coding
1268	chr3	129550001	129600000	+	0	NA	intron (NM_130450, intron 2 of 4)	intron (NM_130450, intron 2 of 4)	-42612	NR_153368	102639747	Mm.393257	NR_153368		Gm35986	-	predicted gene, 35986	ncRNA
1067	chr13	81750001	81800000	+	0	NA	Intergenic	Intergenic	-8247	NM_007684	12626	Mm.12481	NM_007684	ENSMUSG00000021537	Cetn3	MmCEN3	centrin 3	protein-coding
908	chr9	31300001	31350000	+	0	NA	intron (NM_001368845, intron 3 of 21)	B1_Mus2|SINE|Alu	11573	NM_001368846	382066	Mm.335039	NM_199315	ENSMUSG00000042496	Prdm10	Gm1112|tristanin	PR domain containing 10	protein-coding
1678	chr7	88550001	88600000	+	0	NA	Intergenic	Intergenic	144727	NM_028238	72433	Mm.276669	NM_028238	ENSMUSG00000030559	Rab38	2310011F14Rik|AU043391|cht	RAB38, member RAS oncogene family	protein-coding
1771	chr4	108600001	108650000	+	0	NA	exon (NM_177045, exon 5 of 25)	exon (NM_177045, exon 5 of 25)	5044	NM_177045	319965	Mm.151129	NM_177045	ENSMUSG00000028582	Cc2d1b	A830039B04Rik|Freud2	coiled-coil and C2 domain containing 1B	protein-coding
491	chr12	4050001	4100000	+	0	NA	Intergenic	Intergenic	-7574	NM_153082	217378	Mm.271656	NM_153082	ENSMUSG00000020657	Dnajc27	AI639580|C330021A05Rik|Rabj|Rbj	DnaJ heat shock protein family (Hsp40) member C27	protein-coding
1312	chr8	46900001	46950000	+	0	NA	Intergenic	Lx8|LINE|L1	-61887	NM_177304	320981	Mm.211429	NM_177304	ENSMUSG00000038173	Enpp6	4833421B01Rik|B830047L21Rik|D8Ertd514e|E-NPP 6|GPC-Cpde|Npp6	ectonucleotide pyrophosphatase/phosphodiesterase 6	protein-coding
569	chr12	112150001	112200000	+	0	NA	intron (NM_001097621, intron 11 of 15)	intron (NM_001097621, intron 11 of 15)	28792	NM_001097621	668303	Mm.313104	NM_001097621	ENSMUSG00000021294	Kif26a	mKIAA1236	kinesin family member 26A	protein-coding
1126	chr14	40950001	41000000	+	0	NA	Intergenic	Intergenic	-8104	NM_145928	52588	Mm.28876	NM_145928	ENSMUSG00000037824	Tspan14	AA958793|D14Ertd226e|Tm4sf14|tspan-14	tetraspanin 14	protein-coding
151	chr1	52750001	52800000	+	0	NA	Intergenic	MYSERV6-int|LTR|ERVK	42688	NM_008384	16329	Mm.917	NM_008384	ENSMUSG00000026102	Inpp1	2300002C06Rik|AV137389	inositol polyphosphate-1-phosphatase	protein-coding
1423	chr10	63300001	63350000	+	0	NA	intron (NM_001159589, intron 5 of 7)	intron (NM_001159589, intron 5 of 7)	14035	NM_001159589	93759	Mm.351459	NM_019812	ENSMUSG00000020063	Sirt1	AA673258|SIR2L1|Sir2|Sir2a|Sir2alpha	sirtuin 1	protein-coding
1183	chr3	19400001	19450000	+	0	NA	Intergenic	MTC|LTR|ERVL-MaLR	-83595	NM_001163536	66326	Mm.45615	NM_025489	ENSMUSG00000027606	Dnajc5b	1700008A05Rik	DnaJ heat shock protein family (Hsp40) member C5 beta	protein-coding
706	chr2	166050001	166100000	+	0	NA	intron (NM_001355619, intron 21 of 21)	intron (NM_001355619, intron 21 of 21)	80285	NM_001355619	72043	Mm.1011	NM_028072	ENSMUSG00000006800	Sulf2	2010004N24Rik|AU020235|MSulf-2|mKIAA1247	sulfatase 2	protein-coding
834	chr11	63100001	63150000	+	0	NA	Intergenic	Intergenic	-3982	NM_001302257	18858	Mm.1237	NM_008885	ENSMUSG00000018217	Pmp22	22kDa|Gas-3|HNPP|TRE002|Tr|trembler	peripheral myelin protein 22	protein-coding
1734	chr4	33000001	33050000	+	0	NA	Intergenic	L1Md_F2|LINE|L1	6323	NR_036602	100504166	Mm.426309	NR_036602	ENSMUSG00000085037	4933421O10Rik	-	RIKEN cDNA 4933421O10 gene	ncRNA
1221	chr3	81750001	81800000	+	0	NA	Intergenic	L1Md_T|LINE|L1	-27025	NR_138586	320566	Mm.208417	NR_138586	ENSMUSG00000103695	A830029E22Rik	-	RIKEN cDNA A830029E22 gene	ncRNA
2	chr19	6500001	6550000	+	0	NA	intron (NM_001205235, intron 21 of 21)	MLT1J1-int|LTR|ERVL-MaLR	18070	NM_009203	20521	Mm.391146	NM_009203	ENSMUSG00000061742	Slc22a12	AI987855|OAT4L|Rst|Slc22al2|URAT1	solute carrier family 22 (organic anion/cation transporter), member 12	protein-coding
1606	chr7	7250001	7300000	+	0	NA	intron (NR_003555, intron 1 of 6)	L1Md_F2|LINE|L1	3289	NR_003555	76229	Mm.387947	NM_001113468	ENSMUSG00000095730	Vmn2r29	6430701C03Rik	vomeronasal 2, receptor 29	protein-coding
1759	chr4	83550001	83600000	+	0	NA	intron (NM_001355549, intron 6 of 24)	ORR1D2|LTR|ERVL-MaLR	49424	NM_001369172	320226	Mm.180032	NM_029117	ENSMUSG00000052407	Ccdc171	4930418J05Rik|4930473A06Rik|A330015D16Rik	coiled-coil domain containing 171	protein-coding
253	chr1	175900001	175950000	+	0	NA	Intergenic	Intergenic	4671	NM_001290692	226720	Mm.11282	NM_001290692	ENSMUSG00000104158	Becn2	Beclin-2|Gm104	beclin 2	protein-coding
561	chr12	101900001	101950000	+	0	NA	intron (NM_029705, intron 10 of 10)	intron (NM_029705, intron 10 of 10)	-11829	NM_028446	109181	Mm.208618	NM_028446	ENSMUSG00000021188	Trip11	2610511G22Rik|3110031G15Rik|6030460N08Rik|AI450776|GMAP-210|TRIP230	thyroid hormone receptor interactor 11	protein-coding
149	chr1	52050001	52100000	+	0	NA	intron (NM_011487, intron 7 of 23)	intron (NM_011487, intron 7 of 23)	-44438	NM_001205314	20846	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding
1830	chr5	33000001	33050000	+	0	NA	intron (NM_011738, intron 1 of 1)	B1_Mur4|SINE|Alu	6184	NM_011738	22629	Mm.332314	NM_011738	ENSMUSG00000018965	Ywhah	-	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	protein-coding
329	chr18	81900001	81950000	+	0	NA	Intergenic	Intergenic	67080	NR_039589	100628596		NR_039589	ENSMUSG00000093036	Mir5127	mmu-mir-5127|mu-mir-5127	microRNA 5127	ncRNA
1009	chr13	22000001	22050000	+	0	NA	Intergenic	Intergenic	10643	NM_175659	319168	Mm.250564	NM_175659	ENSMUSG00000069302	Hist1h2ah	-	histone cluster 1, H2ah	protein-coding
1486	chr6	35500001	35550000	+	0	NA	intron (NM_008098, intron 1 of 3)	intron (NM_008098, intron 1 of 3)	14888	NM_008098	14489	Mm.182746	NM_008098	ENSMUSG00000029840	Mtpn	5033418D15Rik|Gcdp|V1	myotrophin	protein-coding
1616	chr7	11500001	11550000	+	0	NA	Intergenic	Lx3_Mus|LINE|L1	127085	NM_001110316	665902	Mm.425380	NM_001110316	ENSMUSG00000070828	Zscan4f	C330039H09Rik	zinc finger and SCAN domain containing 4F	protein-coding
472	chr16	64750001	64800000	+	0	NA	Intergenic	Intergenic	-4061	NM_026273	67609	Mm.212157	NM_026273	ENSMUSG00000059920	4930453N24Rik	AI649104|din	RIKEN cDNA 4930453N24 gene	protein-coding
536	chr12	72950001	73000000	+	0	NA	Intergenic	RSINE1|SINE|B4	35118	NM_011384	20476	Mm.57138	NM_011384	ENSMUSG00000021099	Six6	Optx2|Six9	sine oculis-related homeobox 6	protein-coding
444	chr16	36850001	36900000	+	0	NA	promoter-TSS (NM_134111)	promoter-TSS (NM_134111)	-174	NM_134111	106389	Mm.432078	NM_134111	ENSMUSG00000022838	Eaf2	AW048865|FESTA-L|FESTA-S|Festa|Traits|U19	ELL associated factor 2	protein-coding
1398	chr10	38800001	38850000	+	0	NA	Intergenic	B1_Mus1|SINE|Alu	-3221	NM_001177783	215919	Mm.294313	NM_001177783	ENSMUSG00000094311	Rfpl4b	100040915|Gm3037|Gm62	ret finger protein-like 4B	protein-coding
1564	chr6	121150001	121200000	+	0	NA	Intergenic	Intergenic	-8667	NM_001304773	74043	Mm.491240	NM_028730	ENSMUSG00000067825	Pex26	4632428M11Rik	peroxisomal biogenesis factor 26	protein-coding
769	chrX	101300001	101350000	+	0	NA	Intergenic	Intergenic	25821	NM_172932	245537	Mm.121508	NM_172932	ENSMUSG00000031302	Nlgn3	A230085M13Rik|HNL3|NL3|NLG3	neuroligin 3	protein-coding
1007	chr13	21150001	21200000	+	0	NA	Intergenic	Intergenic	-4931	NM_009054	19720	Mm.314056	NM_009054	ENSMUSG00000021326	Trim27	AW538890|Gm19403|Rfp	tripartite motif-containing 27	protein-coding
515	chr12	25350001	25400000	+	0	NA	Intergenic	Intergenic	245826	NR_045844	432641	Mm.112955	NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
1261	chr3	115950001	116000000	+	0	NA	intron (NM_023214, intron 8 of 10)	intron (NM_023214, intron 8 of 10)	-4902	NR_130332	100316705		NR_130332	ENSMUSG00000089261	Mir669n	mmu-mir-669n	microRNA 669n	ncRNA
544	chr12	80600001	80650000	+	0	NA	Intergenic	B1_Mm|SINE|Alu	19111	NM_001347409	13877	Mm.246551	NM_007951	ENSMUSG00000021131	Erh	Mer|Prei1	ERH mRNA splicing and mitosis factor	protein-coding
20	chr19	28100001	28150000	+	0	NA	Intergenic	Intergenic	-113834	NM_011265	19726	Mm.313321	NM_011265	ENSMUSG00000040929	Rfx3	C230093O12Rik|MRFX3	regulatory factor X, 3 (influences HLA class II expression)	protein-coding
1549	chr6	99550001	99600000	+	0	NA	Intergenic	Intergenic	-54007	NM_001347345	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
814	chr11	30950001	31000000	+	0	NA	intron (NM_023906, intron 1 of 9)	RMER19B|LTR|ERVK	11365	NM_026527	68044	Mm.32656	NM_026527	ENSMUSG00000020309	Chac2	-	ChaC, cation transport regulator 2	protein-coding
636	chr2	60200001	60250000	+	0	NA	intron (NM_020575, intron 1 of 9)	intron (NM_020575, intron 1 of 9)	15064	NM_020575	57438	Mm.260635	NM_020575	ENSMUSG00000026977	March7	Axo|Axot|Gtrgeo17	membrane-associated ring finger (C3HC4) 7	protein-coding
342	chr15	8550001	8600000	+	0	NA	Intergenic	L1_Mus1|LINE|L1	-130537	NM_201232	71175	Mm.240329	NM_027707	ENSMUSG00000022141	Nipbl	Idn3	NIPBL cohesin loading factor	protein-coding
1594	chr6	145750001	145800000	+	0	NA	intron (NM_027760, intron 1 of 4)	L1MA4A|LINE|L1	28213	NM_027760	71323	Mm.158669	NM_027760	ENSMUSG00000030259	Rassf8	5133400D11Rik|AA815821|AW123240|Hoj1|mHoj-1	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	protein-coding
903	chr9	24500001	24550000	+	0	NA	Intergenic	Intergenic	-21860	NM_001359948	244745	Mm.38526	NM_172920	ENSMUSG00000043067	Dpy19l1	1100001I19Rik|6030402K12|AI225861|AW558481	dpy-19-like 1 (C. elegans)	protein-coding
540	chr12	75350001	75400000	+	0	NA	intron (NM_023275, intron 1 of 4)	intron (NM_023275, intron 1 of 4)	41781	NM_175644	217674	Mm.252250	NM_175644	ENSMUSG00000048982	Gphb5	OGH|Zlut1	glycoprotein hormone beta 5	protein-coding
1635	chr7	26150001	26200000	+	0	NA	intron (NM_010000, intron 1 of 8)	Lx|LINE|L1	1591	NM_010000	13094	Mm.14413	NM_010000	ENSMUSG00000040660	Cyp2b9	Cyp2b	cytochrome P450, family 2, subfamily b, polypeptide 9	protein-coding
968	chr9	95450001	95500000	+	0	NA	intron (NM_001357974, intron 22 of 27)	intron (NM_001357974, intron 22 of 27)	36996	NM_026476	67958	Mm.292742	NM_026476	ENSMUSG00000032407	U2surp	2610101N10Rik|AU023006|Sr140	U2 snRNP-associated SURP domain containing	protein-coding
844	chr11	76400001	76450000	+	0	NA	exon (NM_001291186, exon 13 of 18)	exon (NM_001291186, exon 13 of 18)	12305	NM_001363379	109934	Mm.258939	NM_198018	ENSMUSG00000017631	Abr	-	active BCR-related gene	protein-coding
1838	chr5	45400001	45450000	+	0	NA	promoter-TSS (NR_131933)	promoter-TSS (NR_131933)	-600	NR_131933	52401	Mm.33854	NR_131933	ENSMUSG00000029092	D5Ertd615e	4930435H24Rik	DNA segment, Chr 5, ERATO Doi 615, expressed	ncRNA
424	chr16	20650001	20700000	+	0	NA	intron (NM_145941, intron 4 of 32)	intron (NM_145941, intron 4 of 32)	2273	NM_145941	208643	Mm.260256	NM_145941	ENSMUSG00000045983	Eif4g1	E030015G23Rik|eIF-4-gamma 1|eIF-4G 1|eIF-4G1|eIF4GI	eukaryotic translation initiation factor 4, gamma 1	protein-coding
440	chr16	33200001	33250000	+	0	NA	intron (NM_176840, intron 8 of 12)	intron (NM_176840, intron 8 of 12)	-26456	NM_080557	69150	Mm.28196	NM_080557	ENSMUSG00000022808	Snx4	1810036H14Rik|AI037066	sorting nexin 4	protein-coding
1697	chr7	114500001	114550000	+	0	NA	intron (NM_011055, intron 11 of 15)	L1M4|LINE|L1	37972	NR_110407	244209	Mm.108037	NM_177382	ENSMUSG00000030670	Cyp2r1	-	cytochrome P450, family 2, subfamily r, polypeptide 1	protein-coding
1600	chr7	5050001	5100000	+	0	NA	intron (NM_133671, intron 9 of 11)	intron (NM_133671, intron 9 of 11)	-5235	NM_010147	13854	Mm.3091	NM_010147	ENSMUSG00000035203	Epn1	AA269831|Ibp1	epsin 1	protein-coding
511	chr12	23800001	23850000	+	0	NA	Intergenic	Intergenic	272269	NM_001256489	66808	Mm.379124	NM_001256489	ENSMUSG00000073158	9030624G23Rik	-	RIKEN cDNA 9030624G23 gene	protein-coding
1088	chr13	109800001	109850000	+	0	NA	intron (NM_011056, intron 7 of 16)	intron (NM_011056, intron 7 of 16)	-78809	NR_035442	100316683		NR_035442	ENSMUSG00000084651	Mir1904	Mirn1904|mmu-mir-1904	microRNA 1904	ncRNA
1537	chr6	87300001	87350000	+	0	NA	intron (NM_054041, intron 1 of 17)	intron (NM_054041, intron 1 of 17)	10775	NM_054041	69538	Mm.232525	NM_054041	ENSMUSG00000033420	Antxr1	2310008J16Rik|2810405N18Rik|Antrx1|Tem8	anthrax toxin receptor 1	protein-coding
313	chr18	64450001	64500000	+	0	NA	intron (NM_001348055, intron 3 of 9)	intron (NM_001348055, intron 3 of 9)	14098	NM_007998	14151	Mm.1070	NM_007998	ENSMUSG00000024588	Fech	AI894116|Fcl|fch	ferrochelatase	protein-coding
532	chr12	70950001	71000000	+	0	NA	intron (NM_001310596, intron 1 of 10)	CpG	377	NM_001310596	19167	Mm.296338	NM_011184	ENSMUSG00000060073	Psma3	Lmpc8	proteasome (prosome, macropain) subunit, alpha type 3	protein-coding
1821	chr5	21600001	21650000	+	0	NA	intron (NM_177076, intron 3 of 19)	RMER12|LTR|ERVK	20605	NM_177076	320118	Mm.442295	NM_177076	ENSMUSG00000048520	Fbxl13	4921539K22Rik	F-box and leucine-rich repeat protein 13	protein-coding
1439	chr10	84950001	85000000	+	0	NA	intron (NM_001013441, intron 6 of 8)	intron (NM_001013441, intron 6 of 8)	57387	NM_001013441	237422	Mm.18936	NM_183172	ENSMUSG00000035620	Ric8b	BC051080|Ric-8|Ric-8b	RIC8 guanine nucleotide exchange factor B	protein-coding
1120	chr14	26600001	26650000	+	0	NA	intron (NM_145969, intron 15 of 17)	(TC)n|Simple_repeat|Simple_repeat	-13134	NM_007479	11843	Mm.297768	NM_007479	ENSMUSG00000021877	Arf4	AA407803	ADP-ribosylation factor 4	protein-coding
524	chr12	52800001	52850000	+	0	NA	intron (NM_198111, intron 2 of 13)	intron (NM_198111, intron 2 of 13)	125617	NM_198111	238161	Mm.310822	NM_198111	ENSMUSG00000061603	Akap6	AI482140|Akapalpha|Akapbeta|PRKA	A kinase (PRKA) anchor protein 6	protein-coding
1859	chr5	75850001	75900000	+	0	NA	Intergenic	Intergenic	103455	NM_001363216	16542	Mm.285	NM_010612	ENSMUSG00000062960	Kdr	6130401C07|Flk-1|Flk1|Krd-1|Ly73|VEGFR-2|VEGFR2|orv|sVEGFR-2	kinase insert domain protein receptor	protein-coding
587	chr2	12300001	12350000	+	0	NA	Intergenic	Intergenic	-23056	NR_138462	241226	Mm.329997	NM_001001309	ENSMUSG00000026768	Itga8	AI447669	integrin alpha 8	protein-coding
1457	chr10	108250001	108300000	+	0	NA	intron (NM_027892, intron 25 of 25)	intron (NM_027892, intron 25 of 25)	-57189	NM_054056	114774	Mm.391419	NM_054056	ENSMUSG00000035873	Pawr	2310001G03Rik|PAR4|Par-4	PRKC, apoptosis, WT1, regulator	protein-coding
365	chr15	55250001	55300000	+	0	NA	Intergenic	Lx5b|LINE|L1	-32751	NM_001368422	12818	Mm.297859	NM_181277	ENSMUSG00000022371	Col14a1	5730412L22Rik|AW108078	collagen, type XIV, alpha 1	protein-coding
3	chr19	6950001	7000000	+	0	NA	promoter-TSS (NM_008889)	promoter-TSS (NM_008889)	-48	NM_008889	18938	Mm.140	NM_008889	ENSMUSG00000056612	Ppp1r14b	AOM172|PHI-1|PLCB3N|Png	protein phosphatase 1, regulatory inhibitor subunit 14B	protein-coding
38	chr19	46250001	46300000	+	0	NA	intron (NM_178930, intron 29 of 39)	intron (NM_178930, intron 29 of 39)	-29737	NM_001177369	18034	Mm.102365	NM_019408	ENSMUSG00000025225	Nfkb2	NF-kappaB2|lyt|p49|p49/p100|p50B|p52	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100	protein-coding
1569	chr6	124350001	124400000	+	0	NA	Intergenic	Intergenic	-10514	NR_131162	72268	Mm.420740	NR_131162		1700027F06Rik	-	RIKEN cDNA 1700027F06 gene	ncRNA
21	chr19	31750001	31800000	+	0	NA	Intergenic	Intergenic	-9967	NM_001013833	19091	Mm.381170	NM_011160	ENSMUSG00000052920	Prkg1	AW125416|CGKI|Gm19690|Prkg1b|Prkgr1b	protein kinase, cGMP-dependent, type I	protein-coding
