PeakID (cmd=annotatePeaks.pl PLACseq_anchor1.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1917	chr5	148350001	148400000	+	0	NA	intron (NM_007513, intron 1 of 12)	intron (NM_007513, intron 1 of 12)	17815	NM_001301424	11987	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding
1527	chr6	71550001	71600000	+	0	NA	intron (NM_025783, intron 4 of 5)	B2_Mm2|SINE|B2	28877	NM_001355674	66700	Mm.181278	NM_025783	ENSMUSG00000053119	Chmp3	25.1|4921505F14Rik|9130011K15Rik|CGI-49|D6Ertd286e|NEDF|Vps24	charged multivesicular body protein 3	protein-coding
821	chr11	44500001	44550000	+	0	NA	exon (NM_001363166, exon 2 of 11)	exon (NM_001363166, exon 2 of 11)	4711	NM_001363166	74315	Mm.156771	NM_028862	ENSMUSG00000019189	Rnf145	3732413I11Rik|TMRF1	ring finger protein 145	protein-coding
886	chr11	116650001	116700000	+	0	NA	TTS (NR_028567)	TTS (NR_028567)	403	NR_028570	100216538		NR_028570	ENSMUSG00000065094	Snord1a	snR38	small nucleolar RNA, C/D box 1A	snoRNA
1501	chr6	50300001	50350000	+	0	NA	intron (NM_001347213, intron 15 of 23)	intron (NM_001347213, intron 15 of 23)	57837	NM_027881	71720	Mm.44153	NM_027881	ENSMUSG00000029822	Osbpl3	1200014M06Rik|6720421I08Rik|A530055M08|ORP-3|ORP3|OSBP3	oxysterol binding protein-like 3	protein-coding
884	chr11	115700001	115750000	+	0	NA	Intergenic	AT_rich|Low_complexity|Low_complexity	-16403	NM_008163	14784	Mm.439649	NM_008163	ENSMUSG00000059923	Grb2	AA408164|Ash	growth factor receptor bound protein 2	protein-coding
862	chr11	97150001	97200000	+	0	NA	intron (NM_008379, intron 9 of 21)	intron (NM_008379, intron 9 of 21)	12892	NM_008379	16211	Mm.251013	NM_008379	ENSMUSG00000001440	Kpnb1	AA409963|IPOB|Impnb	karyopherin (importin) beta 1	protein-coding
810	chr11	22200001	22250000	+	0	NA	intron (NM_153078, intron 5 of 24)	B4A|SINE|B4	61795	NM_001252515	216565	Mm.491265	NM_153078	ENSMUSG00000042302	Ehbp1	AF424697|Flj21950|NACSIN	EH domain binding protein 1	protein-coding
863	chr11	97450001	97500000	+	0	NA	intron (NM_021493, intron 12 of 18)	intron (NM_021493, intron 12 of 18)	24840	NM_021493	58996	Mm.394118	NM_021493	ENSMUSG00000049807	Arhgap23	A330041B18Rik	Rho GTPase activating protein 23	protein-coding
568	chr12	109400001	109450000	+	0	NA	Intergenic	Intergenic	-27823	NR_033813	13386	Mm.157069	NM_010052	ENSMUSG00000040856	Dlk1	AW742678|DLK-1|DlkI|FA1|Ly107|Peg9|SCP1|ZOG|pG2|pref-1	delta like non-canonical Notch ligand 1	protein-coding
620	chr2	37900001	37950000	+	0	NA	intron (NM_001362973, intron 13 of 22)	intron (NM_001362973, intron 13 of 22)	148751	NM_001163566	241324	Mm.392369	NM_001163566	ENSMUSG00000035403	Crb2	5930402A21|BC043114	crumbs family member 2	protein-coding
604	chr2	25550001	25600000	+	0	NA	promoter-TSS (NM_029293)	promoter-TSS (NM_029293)	-129	NM_029293	75454	Mm.458079	NM_029293	ENSMUSG00000036504	Phpt1	1700008C22Rik|PHP|Php14	phosphohistidine phosphatase 1	protein-coding
355	chr15	34050001	34100000	+	0	NA	Intergenic	B3|SINE|B2	-7719	NM_026002	67154	Mm.130883	NM_026002	ENSMUSG00000022255	Mtdh	2610103J23Rik|3D3|3D3/Lyric|AEG-1|AV353288|D8Bwg1112e|Lyric	metadherin	protein-coding
449	chr16	38300001	38350000	+	0	NA	intron (NM_001081025, intron 7 of 16)	intron (NM_001081025, intron 7 of 16)	16860	NM_001081025	320214	Mm.294342	NM_177104	ENSMUSG00000022805	Maats1	4932425I24Rik|Aat1|CFAP91|Spata26	MYCBP-associated, testis expressed 1	protein-coding
52	chr17	15000001	15050000	+	0	NA	Intergenic	Intergenic	-14816	NM_198104	21647	Mm.440445	NM_011560	ENSMUSG00000079707	Tcte3	D17Leh117c|LC2|Tcte-3|Tctex-2|Tctex-4|Tctex2|Tctex4	t-complex-associated testis expressed 3	protein-coding
1672	chr7	80850001	80900000	+	0	NA	exon (NM_009553, exon 3 of 3)	exon (NM_009553, exon 3 of 3)	12892	NM_009553	22691	Mm.358645	NM_009553	ENSMUSG00000038797	Zscan2	Zfp-29|Zfp29	zinc finger and SCAN domain containing 2	protein-coding
1777	chr4	115700001	115750000	+	0	NA	Intergenic	L1Md_F2|LINE|L1	-12770	NM_001368627	230648	Mm.283565	NM_172698	ENSMUSG00000034210	Efcab14	4732418C07Rik	EF-hand calcium binding domain 14	protein-coding
40	chr19	55400001	55450000	+	0	NA	intron (NM_001360431, intron 6 of 8)	intron (NM_001360431, intron 6 of 8)	108943	NM_001360432	53611	Mm.258637	NM_016862	ENSMUSG00000024983	Vti1a	1110014F16Rik|1110018K19Rik|4921537J05Rik|MVti1|MVti1a|Vti1|Vti1-rp2	vesicle transport through interaction with t-SNAREs 1A	protein-coding
885	chr11	116300001	116350000	+	0	NA	Intergenic	URR1B|DNA|hAT-Charlie	10354	NM_008240	15223	Mm.378938	NM_008240	ENSMUSG00000034227	Foxj1	FKHL-13|HFH-4|Hfh4	forkhead box J1	protein-coding
1004	chr13	14650001	14700000	+	0	NA	Intergenic	MERV1_I-int|LTR|ERV1	44742	NM_134067	105351	Mm.41450	NM_134067	ENSMUSG00000039182	AW209491	-	expressed sequence AW209491	protein-coding
78	chr17	46200001	46250000	+	0	NA	intron (NM_028198, intron 14 of 31)	intron (NM_028198, intron 14 of 31)	-6531	NR_030466	751553		NR_030466	ENSMUSG00000076141	Mir693	Mirn693|mir-693|mmu-mir-693	microRNA 693	ncRNA
1657	chr7	66050001	66100000	+	0	NA	TTS (NM_021336)	TTS (NM_021336)	-4649	NM_001348246	109815	Mm.482127	NM_024439	ENSMUSG00000075701	Selenos	1500011E07Rik|C78786|H-4|H-47|H4|H47|Sels|Seps1|Vimp	selenoprotein S	protein-coding
1476	chr6	10500001	10550000	+	0	NA	Intergenic	Lx3_Mus|LINE|L1	449378	NR_033776	57866	Mm.4397	NR_033776		AA545190	-	EST AA545190	ncRNA
1522	chr6	70200001	70250000	+	0	NA	Intergenic	L1_Mus4|LINE|L1	567175	NM_009075	19895	Mm.17905	NM_009075	ENSMUSG00000053604	Rpia	RPI	ribose 5-phosphate isomerase A	protein-coding
242	chr1	162000001	162050000	+	0	NA	intron (NM_172646, intron 16 of 19)	intron (NM_172646, intron 16 of 19)	20031	NR_040562	72753	Mm.452125	NR_040562	ENSMUSG00000090260	2810442N19Rik	-	RIKEN cDNA 2810442N19 gene	ncRNA
1875	chr5	105400001	105450000	+	0	NA	intron (NM_001033550, intron 1 of 4)	B1F|SINE|Alu	9225	NM_001033550	433926	Mm.439781	NM_001033550	ENSMUSG00000070639	Lrrc8b	2210408K08Rik|R75581|Ta-lrrp|mKIAA0231	leucine rich repeat containing 8 family, member B	protein-coding
780	chrX	134050001	134100000	+	0	NA	promoter-TSS (NR_037299)	promoter-TSS (NR_037299)	-316	NR_037299	100526514		NR_037299	ENSMUSG00000093172	Mir3112	mmu-mir-3112	microRNA 3112	ncRNA
101	chr17	72800001	72850000	+	0	NA	Intergenic	B1_Mus2|SINE|Alu	-11628	NM_027166	383295	Mm.277533	NM_027166	ENSMUSG00000039770	Ypel5	2310076K21Rik|CGI-127	yippee like 5	protein-coding
1320	chr8	69100001	69150000	+	0	NA	Intergenic	RMER19B|LTR|ERVK	-35778	NM_153054	110877	Mm.19301	NM_153054	ENSMUSG00000036330	Slc18a1	4832416I10Rik|Vat1|Vmat1	solute carrier family 18 (vesicular monoamine), member 1	protein-coding
1704	chr7	123500001	123550000	+	0	NA	Intergenic	Intergenic	-24374	NM_001081329	210162	Mm.135397	NM_175435	ENSMUSG00000030757	Zkscan2	9430065N20Rik|AW493225|Zfp694	zinc finger with KRAB and SCAN domains 2	protein-coding
962	chr9	87000001	87050000	+	0	NA	intron (NM_001359962, intron 1 of 14)	intron (NM_001359962, intron 1 of 14)	2971	NM_001359962	266690	Mm.30166	NM_024195	ENSMUSG00000032872	Cyb5r4	2810034J18Rik|B5+B5R|C79736|Cb5cb5r|Ncb5or|b5/b5r|b5b5r	cytochrome b5 reductase 4	protein-coding
34	chr19	42800001	42850000	+	0	NA	intron (NM_001081257, intron 9 of 11)	Lx10|LINE|L1	-45022	NM_001346703	192236	Mm.218381	NM_019424	ENSMUSG00000025188	Hps1	6030422N11Rik|BB405864|Gm21361|Hps|ep	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1	protein-coding
625	chr2	49750001	49800000	+	0	NA	TTS (NM_008449)	TTS (NM_008449)	-12686	NM_027990	71897	Mm.41381	NM_027990	ENSMUSG00000026765	Lypd6b	2310010M24Rik|AW049525	LY6/PLAUR domain containing 6B	protein-coding
1909	chr5	140550001	140600000	+	0	NA	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-9933	NM_030022	77998	Mm.160040	NM_030022	ENSMUSG00000036586	Grifin	E130101O17Rik	galectin-related inter-fiber protein	protein-coding
1238	chr3	96500001	96550000	+	0	NA	promoter-TSS (NM_027126)	promoter-TSS (NM_027126)	-185	NM_027126	69585	Mm.171314	NM_027126	ENSMUSG00000038403	Hjv	2310035L15Rik|5230400G09Rik|AI414844|AI789733|DL-M|Hfe2|Rgmc|hemojuvelin	hemojuvelin BMP co-receptor	protein-coding
1896	chr5	121200001	121250000	+	0	NA	intron (NM_181421, intron 1 of 75)	MER2|DNA|TcMar-Tigger	4781	NM_181421	269700	Mm.184589	NM_181421	ENSMUSG00000042744	Hectd4	A130010L24|AU042671|BC019639|EG545802|Gm15800|mKIAA0614	HECT domain E3 ubiquitin protein ligase 4	protein-coding
1520	chr6	66950001	67000000	+	0	NA	intron (NM_001177560, intron 3 of 4)	L1MA4|LINE|L1	-61599	NR_040278	320172	Mm.449039	NR_040278	ENSMUSG00000087231	E230016M11Rik	-	RIKEN cDNA E230016M11 gene	ncRNA
590	chr2	11650001	11700000	+	0	NA	intron (NM_008367, intron 2 of 7)	intron (NM_008367, intron 2 of 7)	-30293	NM_001271497	16169	Mm.200196	NM_008358	ENSMUSG00000023206	Il15ra	AA690181|IL-15RA	interleukin 15 receptor, alpha chain	protein-coding
328	chr18	80700001	80750000	+	0	NA	Intergenic	B4|SINE|B4	-11929	NM_198429	18018	Mm.329560	NM_016791	ENSMUSG00000033016	Nfatc1	2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	protein-coding
880	chr11	110500001	110550000	+	0	NA	3' UTR (NM_001356345, exon 11 of 11)	3' UTR (NM_001356345, exon 11 of 11)	45660	NM_001356346	26399	Mm.14487	NM_011943	ENSMUSG00000020623	Map2k6	MAPKK 6|MAPKK6|MEK6|MKK6|Prkmk6|SAPKK3	mitogen-activated protein kinase kinase 6	protein-coding
833	chr11	62450001	62500000	+	0	NA	intron (NM_001039536, intron 2 of 6)	B1_Mur2|SINE|Alu	16559	NM_001364771	327942	Mm.390358	NM_199026	ENSMUSG00000014245	Pigl	Gm737	phosphatidylinositol glycan anchor biosynthesis, class L	protein-coding
759	chrX	73100001	73150000	+	0	NA	intron (NM_001025383, intron 3 of 3)	intron (NM_001025383, intron 3 of 3)	1932	NM_001025383	574404	Mm.481740	NM_001025383	ENSMUSG00000067771	Gm14685	-	predicted gene 14685	protein-coding
894	chr9	3300001	3350000	+	0	NA	Intergenic	L1_Mus2|LINE|L1	-10231	NM_026303	67667	Mm.116968	NM_026303	ENSMUSG00000025899	Alkbh8	4930562C03Rik|8030431D03Rik|9430088N01Rik|Abh8	alkB homolog 8, tRNA methyltransferase	protein-coding
1316	chr8	57550001	57600000	+	0	NA	intron (NM_001167981, intron 2 of 11)	intron (NM_001167981, intron 2 of 11)	63157	NM_008252	97165	Mm.276881	NM_008252	ENSMUSG00000054717	Hmgb2	C80539|HMG-2|Hmg2	high mobility group box 2	protein-coding
1098	chr13	113850001	113900000	+	0	NA	intron (NM_172595, intron 1 of 4)	intron (NM_172595, intron 1 of 4)	80492	NM_172595	218639	Mm.79837	NM_172595	ENSMUSG00000042348	Arl15	A430036I03|Arfrp2|C230032K13Rik	ADP-ribosylation factor-like 15	protein-coding
279	chr18	10500001	10550000	+	0	NA	intron (NM_001083628, intron 17 of 32)	intron (NM_001083628, intron 17 of 32)	85352	NM_001081222	77805	Mm.210996	NM_144542	ENSMUSG00000024293	Esco1	A930014I12Rik	establishment of sister chromatid cohesion N-acetyltransferase 1	protein-coding
1865	chr5	90200001	90250000	+	0	NA	Intergenic	Intergenic	-1004	NM_001033310	231430	Mm.319697	NM_001033310	ENSMUSG00000035505	Cox18	BC038311	cytochrome c oxidase assembly protein 18	protein-coding
388	chr15	79500001	79550000	+	0	NA	intron (NM_134090, intron 3 of 4)	intron (NM_134090, intron 3 of 4)	7917	NM_152806	67040	Mm.29644	NM_152806	ENSMUSG00000055065	Ddx17	2610007K22Rik|A430025E01Rik|AI047725|C80929|Gm926|p72	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	protein-coding
1123	chr14	31000001	31050000	+	0	NA	intron (NM_001359857, intron 3 of 30)	B3|SINE|B2	5295	NM_001359856	66923	Mm.27913	NM_025847	ENSMUSG00000042323	Pbrm1	2610016F04Rik|AI507524|BAF180|Pb1	polybromo 1	protein-coding
786	chrX	147800001	147850000	+	0	NA	Intergenic	Intergenic	-167993	NM_001198988	666184	Mm.422381	NM_001198988	ENSMUSG00000072931	Gm15080	Ott-like	predicted gene 15080	protein-coding
1351	chr8	114750001	114800000	+	0	NA	intron (NM_019573, intron 8 of 8)	B4A|SINE|B4	335348	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
1363	chr10	3950001	4000000	+	0	NA	intron (NM_172308, intron 1 of 27)	intron (NM_172308, intron 1 of 27)	1925	NM_172308	270685	Mm.184752	NM_172308	ENSMUSG00000040675	Mthfd1l	2410004L15Rik|AI647056|Fthfsdc1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	protein-coding
1481	chr6	22300001	22350000	+	0	NA	intron (NM_138587, intron 5 of 9)	G-rich|Low_complexity|Low_complexity	31081	NM_138587	27999	Mm.490307	NM_138587	ENSMUSG00000029672	Fam3c	D6Wsu176e|Ilei	family with sequence similarity 3, member C	protein-coding
1546	chr6	97250001	97300000	+	0	NA	Intergenic	B4|SINE|B4	-22243	NM_001081157	320502	Mm.68163	NM_001081157	ENSMUSG00000044086	Lmod3	5430424A14Rik	leiomodin 3 (fetal)	protein-coding
684	chr2	149300001	149350000	+	0	NA	Intergenic	Lx2B|LINE|L1	-80249	NM_021405	58214	Mm.117117	NM_021405	ENSMUSG00000033156	Cst10	DD72	cystatin 10 (chondrocytes)	protein-coding
1752	chr4	60500001	60550000	+	0	NA	Intergenic	L1_Mus4|LINE|L1	-23040	NM_031188	17840	Mm.335875	NM_031188	ENSMUSG00000078683	Mup1	Ltn-1|Lvtn-1|Mup-1|Mup-a|Mup10|Mup7|Up-1	major urinary protein 1	protein-coding
1841	chr5	53300001	53350000	+	0	NA	Intergenic	Intergenic	57894	NM_001145433	66278	Mm.27900	NM_001145433	ENSMUSG00000061461	Smim20	1110067B18Rik|1810013D10Rik|N28078	small integral membrane protein 20	protein-coding
481	chr16	89800001	89850000	+	0	NA	intron (NM_001145886, intron 15 of 27)	Lx5|LINE|L1	-6648	NM_001145887	21844	Mm.310902	NM_009384	ENSMUSG00000002489	Tiam1	AI847750|D16Ium10|D16Ium10e	T cell lymphoma invasion and metastasis 1	protein-coding
180	chr1	80150001	80200000	+	0	NA	Intergenic	Intergenic	38944	NM_173425	241128	Mm.145511	NM_173425	ENSMUSG00000043230	Fam124b	A830043J08Rik	family with sequence similarity 124, member B	protein-coding
260	chr1	181850001	181900000	+	0	NA	Intergenic	(TATG)n|Simple_repeat|Simple_repeat	-32599	NM_133815	98386	Mm.4538	NM_133815	ENSMUSG00000004880	Lbr	AI505894|C14SR|ic	lamin B receptor	protein-coding
890	chr11	119400001	119450000	+	0	NA	intron (NM_001040005, intron 17 of 67)	L1M4|LINE|L1	34528	NR_035453	100316690		NR_035453	ENSMUSG00000088015	Mir1932	mir-1932|mmu-mir-1932	microRNA 1932	ncRNA
1724	chr4	8400001	8450000	+	0	NA	Intergenic	B1_Mus1|SINE|Alu	-110644	NM_021518	59021	Mm.397471	NM_021518	ENSMUSG00000047187	Rab2a	9330148M11Rik|C80220|Rab2	RAB2A, member RAS oncogene family	protein-coding
1275	chr3	135850001	135900000	+	0	NA	intron (NM_026228, intron 6 of 8)	intron (NM_026228, intron 6 of 8)	-34731	NR_040540	71038	Mm.410798	NR_040540	ENSMUSG00000106306	4933401H06Rik	-	RIKEN cDNA 4933401H06 gene	ncRNA
579	chr2	4500001	4550000	+	0	NA	intron (NM_001347086, intron 8 of 24)	intron (NM_001347086, intron 8 of 24)	-34754	NM_001177844	209630	Mm.37932	NM_172475	ENSMUSG00000026657	Frmd4a	2700017I06Rik|5330420J21|AI594879|C230040M21Rik|Frmd4|Gm13190|mKIAA1294	FERM domain containing 4A	protein-coding
1122	chr14	30100001	30150000	+	0	NA	intron (NM_001083616, intron 11 of 46)	intron (NM_001083616, intron 11 of 46)	102367	NM_175343	218865	Mm.259916	NM_172264	ENSMUSG00000015970	Chdh	AU041472|D630034H06Rik	choline dehydrogenase	protein-coding
1473	chr6	5400001	5450000	+	0	NA	intron (NM_001355662, intron 3 of 4)	intron (NM_001355662, intron 3 of 4)	34590	NM_001355662	65255	Mm.51340	NM_023048	ENSMUSG00000042607	Asb4	8430401O13Rik|AV117194|AW060255	ankyrin repeat and SOCS box-containing 4	protein-coding
953	chr9	75700001	75750000	+	0	NA	Intergenic	L1Md_T|LINE|L1	-40944	NM_009130	20255	Mm.2386	NM_009130	ENSMUSG00000032181	Scg3	1B1075|AI385542|Chgd|SgIII	secretogranin III	protein-coding
294	chr18	37700001	37750000	+	0	NA	promoter-TSS (NM_033591)	promoter-TSS (NM_033591)	-706	NM_033591	93716	Mm.247203	NM_033591	ENSMUSG00000103897	Pcdhga8	mKIAA4054	protocadherin gamma subfamily A, 8	protein-coding
1263	chr3	121300001	121350000	+	0	NA	intron (NR_155539, intron 2 of 2)	B1_Mur3|SINE|Alu	33260	NR_155539	66789	Mm.269881	NM_024178	ENSMUSG00000039887	Alg14	5430428G01Rik|AI854024	asparagine-linked glycosylation 14	protein-coding
1888	chr5	117100001	117150000	+	0	NA	intron (NM_001199685, intron 1 of 20)	RSINE1|SINE|B4	4871	NM_001199685	330177	Mm.24343	NM_183306	ENSMUSG00000061288	Taok3	2900006A08Rik|A130052D22|A430105I05Rik	TAO kinase 3	protein-coding
38	chr19	46100001	46150000	+	0	NA	Intergenic	Intergenic	-6899	NM_007703	12686	Mm.21806	NM_007703	ENSMUSG00000038754	Elovl3	CIN-2|Cig30	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	protein-coding
949	chr9	70400001	70450000	+	0	NA	TTS (NM_033604)	TTS (NM_033604)	-3446	NM_007630	12442	Mm.22592	NM_007630	ENSMUSG00000032218	Ccnb2	CycB2	cyclin B2	protein-coding
592	chr2	12550001	12600000	+	0	NA	Intergenic	L1_Mus1|LINE|L1	-155540	NR_149732	66960	Mm.34059	NM_024185	ENSMUSG00000026767	Mindy3	1810041E18Rik|2310047O13Rik|5830410F13Rik|AI447827|AW111958|Fam188a	MINDY lysine 48 deubiquitinase 3	protein-coding
320	chr18	70500001	70550000	+	0	NA	5' UTR (NM_001289515, exon 4 of 10)	5' UTR (NM_001289515, exon 4 of 10)	5321	NM_011972	26447	Mm.244352	NM_011972	ENSMUSG00000038425	Poli	Rad30b	polymerase (DNA directed), iota	protein-coding
212	chr1	131950001	132000000	+	0	NA	intron (NM_145977, intron 1 of 4)	intron (NM_145977, intron 1 of 4)	4391	NM_145977	212980	Mm.200307	NM_145977	ENSMUSG00000026435	Slc45a3	2210413P12Rik|AU023994|AU043764|IPCA-6|PRST|Pcanap6	solute carrier family 45, member 3	protein-coding
314	chr18	65300001	65350000	+	0	NA	intron (NM_001037294, intron 4 of 12)	intron (NM_001037294, intron 4 of 12)	68888	NM_001037294	225638	Mm.296528	NM_001037294	ENSMUSG00000032845	Alpk2	Gm549|Hak	alpha-kinase 2	protein-coding
1613	chr7	9500001	9550000	+	0	NA	Intergenic	Intergenic	-23500	NM_001105076	100042894	Mm.465204	NM_001105076	ENSMUSG00000090342	Vmn2r46	-	vomeronasal 2, receptor 46	protein-coding
1578	chr6	130700001	130750000	+	0	NA	Intergenic	IAPEY2_LTR|LTR|ERVK	-338126	NM_016659	16627	Mm.24399	NM_016659	ENSMUSG00000079853	Klra1	A1|CH29-493D4.3|Klra22|Ly49a|Ly49o<129>|Ly49v	killer cell lectin-like receptor, subfamily A, member 1	protein-coding
499	chr12	18450001	18500000	+	0	NA	Intergenic	Intergenic	-39510	NM_001033157	236366	Mm.352227	NM_001033157	ENSMUSG00000073197	5730507C01Rik	-	RIKEN cDNA 5730507C01 gene	protein-coding
649	chr2	75600001	75650000	+	0	NA	Intergenic	B3|SINE|B2	-34259	NM_146130	229279	Mm.316306	NM_053263	ENSMUSG00000059005	Hnrnpa3	2410013L13Rik|2610209F03Rik|2610510D13Rik|Hnrpa3	heterogeneous nuclear ribonucleoprotein A3	protein-coding
611	chr2	31000001	31050000	+	0	NA	Intergenic	Intergenic	42721	NM_028846	74270	Mm.346654	NM_028846	ENSMUSG00000026854	Usp20	1700055M05Rik|AI467231|Vdu2	ubiquitin specific peptidase 20	protein-coding
283	chr18	20900001	20950000	+	0	NA	Intergenic	ID_B1|SINE|B4	-19615	NM_026301	67664	Mm.45980	NM_026301	ENSMUSG00000033107	Rnf125	4930553F04Rik|C730049O14Rik	ring finger protein 125	protein-coding
628	chr2	54700001	54750000	+	0	NA	intron (NM_173030, intron 3 of 12)	intron (NM_173030, intron 3 of 12)	288613	NM_173030	271786	Mm.330227	NM_173030	ENSMUSG00000060988	Galnt13	A230002A12|A230020F20|BB182356	polypeptide N-acetylgalactosaminyltransferase 13	protein-coding
1076	chr13	95950001	96000000	+	0	NA	intron (NM_029210, intron 12 of 12)	intron (NM_029210, intron 12 of 12)	-83078	NM_027711	544963	Mm.38878	NM_027711	ENSMUSG00000021676	Iqgap2	4933417J23Rik|A630053O10|AI788777	IQ motif containing GTPase activating protein 2	protein-coding
1904	chr5	136250001	136300000	+	0	NA	exon (NM_009986, exon 24 of 24)	exon (NM_009986, exon 24 of 24)	-30060	NM_001302938	23921	Mm.425294	NM_018825	ENSMUSG00000005057	Sh2b2	Aps	SH2B adaptor protein 2	protein-coding
