	chr1	s1	e1	chr2	s2	e2	Interaction_score	Annotation_1	Detailed_Annotation_1	Distance_to_TSS_1	Nearest_PromoterID_1	Entrez_ID_1	Nearest_Unigene_1	Nearest_Refseq_1	Nearest_Ensembl_1	Gene_Name_1	Gene_Alias_1	Gene_Description_1	Gene_Type_1	Annotation_2	Detailed_Annotation_2	Distance_to_TSS_2	Nearest_PromoterID_2	Entrez_ID_2	Nearest_Unigene_2	Nearest_Refseq_2	Nearest_Ensembl_2	Gene_Name_2	Gene_Alias_2	Gene_Description_2	Gene_Type_2	TSS_1	TSS_2
11	chr19	11350000	11400000	chr19	11500000	11550000		promoter-TSS (NM_001310331)	promoter-TSS (NM_001310331)	-488	NM_001310331	666907.0		NM_001310331	ENSMUSG00000101389	Ms4a4a	EG666907	membrane-spanning 4-domains, subfamily A, member 4A	protein-coding	intron (NM_027209, intron 4 of 6)	ORR1F|LTR|ERVL-MaLR	6441	NM_027209	69774.0	Mm.436639	NM_027209	ENSMUSG00000024677	Ms4a6b	1810027D10Rik	membrane-spanning 4-domains, subfamily A, member 6B	protein-coding	-0.0	1.0
12	chr19	13950000	14000000	chr19	15000000	15050000		Intergenic	L1Md_F2|LINE|L1	55978	NM_001011850	258151.0	Mm.377361	NM_001011850	ENSMUSG00000062314	Olfr1505	MOR211-4P	olfactory receptor 1505	protein-coding	Intergenic	Intergenic	-426817	NM_001302947	21888.0	Mm.103638	NM_011600	ENSMUSG00000024642	Tle4	5730411M05Rik|AA792082|Bce-1|Bce1|ESTM13|ESTM14|Grg4|X83332|X83333|grg-4	transducin-like enhancer of split 4	protein-coding	11.0	-85.0
13	chr19	13950000	14000000	chr19	15600000	15650000		Intergenic	L1Md_F2|LINE|L1	55978	NM_001011850	258151.0	Mm.377361	NM_001011850	ENSMUSG00000062314	Olfr1505	MOR211-4P	olfactory receptor 1505	protein-coding	Intergenic	MER63C|DNA|hAT-Blackjack	299622	NM_001205339	107272.0	Mm.289936	NM_177420	ENSMUSG00000024640	Psat1	D8Ertd814e|EPIP|PSA|Psat	phosphoserine aminotransferase 1	protein-coding	11.0	60.0
14	chr19	16050000	16100000	chr19	16550000	16600000		Intergenic	Intergenic	-57684	NM_008139	14682.0	Mm.439701	NM_008139	ENSMUSG00000024639	Gnaq	1110005L02Rik|6230401I02Rik|AA408290|AW060788|Dsk1|Dsk10|Galphaq|Gq|GqI	guanine nucleotide binding protein, alpha q polypeptide	protein-coding	intron (NM_008137, intron 2 of 6)	L1Md_A|LINE|L1	139333	NM_008137	14675.0	Mm.313181	NM_008137	ENSMUSG00000024697	Gna14	AU023208	guanine nucleotide binding protein, alpha 14	protein-coding	-12.0	28.0
15	chr19	17100000	17150000	chr19	17350000	17400000		exon (NM_181348, exon 9 of 20)	exon (NM_181348, exon 9 of 20)	168882	NM_181348	353211.0	Mm.257354	NM_181348	ENSMUSG00000039126	Prune2	6330414G02Rik|A230083H22Rik|A330102H22Rik|Bmcc1|mKIAA0367	prune homolog 2	protein-coding	Intergenic	L2|LINE|L2	-2156	NM_010265	14537.0	Mm.244825	NM_010265	ENSMUSG00000038843	Gcnt1	5630400D21Rik|B130048E03|C2 GlcNAcT|C2GNT|IGnT	glucosaminyl (N-acetyl) transferase 1, core 2	protein-coding	34.0	-0.0
16	chr19	17350000	17400000	chr19	18700000	18750000		Intergenic	L2|LINE|L2	-2156	NM_010265	14537.0	Mm.244825	NM_010265	ENSMUSG00000038843	Gcnt1	5630400D21Rik|B130048E03|C2 GlcNAcT|C2GNT|IGnT	glucosaminyl (N-acetyl) transferase 1, core 2	protein-coding	Intergenic	B2_Mm2|SINE|B2	11764	NM_177640	225995.0	Mm.28101	NM_177640	ENSMUSG00000047044	D030056L22Rik	-	RIKEN cDNA D030056L22 gene	protein-coding	-0.0	2.0
17	chr19	20800000	20850000	chr19	21550000	21600000		intron (NM_028953, intron 12 of 20)	intron (NM_028953, intron 12 of 20)	-97444	NM_011921	26358.0	Mm.14609	NM_011921	ENSMUSG00000024747	Aldh1a7	AI987940|Ahd2-like|Aldh-pb|Aldh1a4|Aldhpb	aldehyde dehydrogenase family 1, subfamily A7	protein-coding	Intergenic	B4A|SINE|B4	77791	NM_025423	66206.0	Mm.272430	NM_025423	ENSMUSG00000035171	1110059E24Rik	-	RIKEN cDNA 1110059E24 gene	protein-coding	-19.0	16.0
18	chr19	21550000	21600000	chr19	21700000	21750000		Intergenic	B4A|SINE|B4	77791	NM_025423	66206.0	Mm.272430	NM_025423	ENSMUSG00000035171	1110059E24Rik	-	RIKEN cDNA 1110059E24 gene	protein-coding	Intergenic	Intergenic	-53340	NM_031997	83921.0	Mm.329776	NM_031997	ENSMUSG00000024754	Cemip2	Tmem2	cell migration inducing hyaluronidase 2	protein-coding	16.0	-11.0
19	chr19	25150000	25200000	chr19	26650000	26700000		intron (NM_028785, intron 37 of 47)	intron (NM_028785, intron 37 of 47)	-61975	NM_181404	107351.0	Mm.260722	NM_181404	ENSMUSG00000032702	Kank1	A930031B09Rik|AU015049|AW121052|Ankrd15|D330024H06Rik|mKIAA0172	KN motif and ankyrin repeat domains 1	protein-coding	intron (NM_011416, intron 14 of 32)	intron (NM_011416, intron 14 of 32)	69840	NM_011416	67155.0	Mm.491146	NM_011416	ENSMUSG00000024921	Smarca2	2610209L14Rik|SNF2alpha|Snf2l2|brahma|brm	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	protein-coding	-12.0	14.0
20	chr19	27850000	27900000	chr19	28100000	28150000		intron (NM_001166414, intron 4 of 18)	intron (NM_001166414, intron 4 of 18)	134773	NM_001360358	19726.0	Mm.313321	NM_011265	ENSMUSG00000040929	Rfx3	C230093O12Rik|MRFX3	regulatory factor X, 3 (influences HLA class II expression)	protein-coding	Intergenic	Intergenic	-113834	NM_011265	19726.0	Mm.313321	NM_011265	ENSMUSG00000040929	Rfx3	C230093O12Rik|MRFX3	regulatory factor X, 3 (influences HLA class II expression)	protein-coding	27.0	-23.0
21	chr19	30200000	30250000	chr19	31750000	31800000		Intergenic	L1M2|LINE|L1	-7928	NM_010776	17195.0	Mm.30045	NM_010776	ENSMUSG00000024863	Mbl2	L-MBP|MBL|MBL-C|MBP-C|RARF/P28A	mannose-binding lectin (protein C) 2	protein-coding	Intergenic	Intergenic	-9967	NM_001013833	19091.0	Mm.381170	NM_011160	ENSMUSG00000052920	Prkg1	AW125416|CGKI|Gm19690|Prkg1b|Prkgr1b	protein kinase, cGMP-dependent, type I	protein-coding	-2.0	-2.0
22	chr19	30800000	30850000	chr19	31750000	31800000		intron (NM_001013833, intron 5 of 17)	intron (NM_001013833, intron 5 of 17)	105962	NR_033643	625995.0	Mm.454508	NR_033643		Gm6642	EG625995	ubiquitin-like 5 pseudogene	pseudo	Intergenic	Intergenic	-9967	NM_001013833	19091.0	Mm.381170	NM_011160	ENSMUSG00000052920	Prkg1	AW125416|CGKI|Gm19690|Prkg1b|Prkgr1b	protein kinase, cGMP-dependent, type I	protein-coding	21.0	-2.0
23	chr19	31950000	32000000	chr19	33300000	33350000		Intergenic	Intergenic	106187	NM_001365078	69865.0	Mm.5307	NM_001081074	ENSMUSG00000052595	A1cf	1810073H04Rik|9130016M20Rik|ACF64|ACF65|ASP|Acf|MCM|MerCreMer|Tg(Myh6-cre/Esr1*)1Jmk|alpha-MHC-MerCreMer|alphaMHC-Cre-Mer-Cre|mer	APOBEC1 complementation factor	protein-coding	intron (NR_160911, intron 4 of 6)	RMER12|LTR|ERVK	67295	NM_001368833	67795.0	Mm.204591	NM_001146342	ENSMUSG00000071573	Rnls	6530404N21Rik|AI452315|AW060440|C10orf59	renalase, FAD-dependent amine oxidase	protein-coding	21.0	13.0
24	chr19	32150000	32200000	chr19	32300000	32350000		intron (NM_001362423, intron 5 of 9)	L2a|LINE|L2	36013	NM_001168526	208449.0	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding	intron (NM_001362423, intron 2 of 9)	intron (NM_001362423, intron 2 of 9)	24316	NM_001168525	208449.0	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding	7.0	5.0
25	chr19	32500000	32550000	chr19	32650000	32700000		Intergenic	RSINE1|SINE|B4	39231	NM_010799	17330.0	Mm.255116	NM_010799	ENSMUSG00000024896	Minpp1	AA408516	multiple inositol polyphosphate histidine phosphatase 1	protein-coding	intron (NM_026487, intron 9 of 9)	intron (NM_026487, intron 9 of 9)	37298	NM_026487	67979.0	Mm.27123	NM_026487	ENSMUSG00000013662	Atad1	4921525H23Rik|AW107648|Thorase	ATPase family, AAA domain containing 1	protein-coding	8.0	7.0
26	chr19	32700000	32750000	chr19	33200000	33250000		Intergenic	Lx5b|LINE|L1	-12702	NM_026487	67979.0	Mm.27123	NM_026487	ENSMUSG00000013662	Atad1	4921525H23Rik|AW107648|Thorase	ATPase family, AAA domain containing 1	protein-coding	intron (NR_160911, intron 4 of 6)	intron (NR_160911, intron 4 of 6)	67888	NR_039552	100628575.0		NR_039552	ENSMUSG00000106278	Mir3970	mmu-mir-3970|mu-mir-3970	microRNA 3970	ncRNA	-3.0	14.0
27	chr19	32700000	32750000	chr19	34550000	34600000		Intergenic	Lx5b|LINE|L1	-12702	NM_026487	67979.0	Mm.27123	NM_026487	ENSMUSG00000013662	Atad1	4921525H23Rik|AW107648|Thorase	ATPase family, AAA domain containing 1	protein-coding	3' UTR (NM_008332, exon 3 of 3)	3' UTR (NM_008332, exon 3 of 3)	-8529	NM_010501	15959.0	Mm.426079	NM_010501	ENSMUSG00000074896	Ifit3	Ifi49|P49	interferon-induced protein with tetratricopeptide repeats 3	protein-coding	-3.0	-2.0
28	chr19	34200000	34250000	chr19	34550000	34600000		intron (NM_029682, intron 2 of 10)	intron (NM_029682, intron 2 of 10)	7492	NM_001360719	76630.0	Mm.130952	NM_029682	ENSMUSG00000024776	Stambpl1	1700095N21Rik|8230401J17Rik|ALMalpha|AMSH-FP	STAM binding protein like 1	protein-coding	3' UTR (NM_008332, exon 3 of 3)	3' UTR (NM_008332, exon 3 of 3)	-8529	NM_010501	15959.0	Mm.426079	NM_010501	ENSMUSG00000074896	Ifit3	Ifi49|P49	interferon-induced protein with tetratricopeptide repeats 3	protein-coding	1.0	-2.0
29	chr19	36100000	36150000	chr19	37250000	37300000		Intergenic	LTR82B|LTR|ERVL	-5156	NM_013468	107765.0	Mm.10279	NM_013468	ENSMUSG00000024803	Ankrd1	Alrp|CARP|Crap|MARP1	ankyrin repeat domain 1 (cardiac muscle)	protein-coding	intron (NM_031156, intron 21 of 23)	intron (NM_031156, intron 21 of 23)	-10905	NR_040299	77059.0	Mm.251476	NR_040298		4931408D14Rik	-	RIKEN cDNA 4931408D14 gene	ncRNA	-1.0	-2.0
30	chr19	36150000	36200000	chr19	36400000	36450000		Intergenic	Intergenic	-55156	NM_013468	107765.0	Mm.10279	NM_013468	ENSMUSG00000024803	Ankrd1	Alrp|CARP|Crap|MARP1	ankyrin repeat domain 1 (cardiac muscle)	protein-coding	intron (NM_001368690, intron 2 of 9)	L1_Mus3|LINE|L1	15252	NM_001368691	76073.0	Mm.259180	NM_029508	ENSMUSG00000024805	Pcgf5	0610009F02Rik|1110054A01Rik|5830406C17Rik|5830443C21Rik|9530023M17Rik|AI324127	polycomb group ring finger 5	protein-coding	-11.0	3.0
31	chr19	36900000	36950000	chr19	37350000	37400000		Intergenic	Intergenic	-1079	NM_001080706	107182.0	Mm.295062	NM_001080706	ENSMUSG00000040565	Btaf1	AI414500|AI447930|E430027O22Rik|TAF170	B-TFIID TATA-box binding protein associated factor 1	protein-coding	Intergenic	B3A|SINE|B2	-1382	NM_010615	16551.0	Mm.42203	NM_010615	ENSMUSG00000012443	Kif11	Eg5|Kif8|Kifl1|Knsl1	kinesin family member 11	protein-coding	-0.0	-0.0
32	chr19	38950000	39000000	chr19	40350000	40400000		Intergenic	L1MA9|LINE|L1	-32019	NM_028089	72082.0	Mm.142581	NM_028089	ENSMUSG00000025002	Cyp2c55	2010318C06Rik	cytochrome P450, family 2, subfamily c, polypeptide 55	protein-coding	intron (NM_001034962, intron 6 of 22)	intron (NM_001034962, intron 6 of 22)	27310	NM_001034964	20411.0	Mm.210815	NM_009166	ENSMUSG00000025006	Sorbs1	2310065E01Rik|9530001P15Rik|CAP|SH3P12|Sh3d5|mKIAA1296	sorbin and SH3 domain containing 1	protein-coding	-6.0	5.0
33	chr19	39600000	39650000	chr19	39850000	39900000		intron (NM_001024719, intron 6 of 8)	L1Md_F2|LINE|L1	24042	NM_001024719	545288.0	Mm.297048	NM_001024719	ENSMUSG00000062624	Cyp2c67	C730004C24Rik	cytochrome P450, family 2, subfamily c, polypeptide 67	protein-coding	intron (NM_001104525, intron 5 of 8)	intron (NM_001104525, intron 5 of 8)	11769	NM_001104525	100043108.0	Mm.482331	NM_001104525	ENSMUSG00000092008	Cyp2c69	AI098658	cytochrome P450, family 2, subfamily c, polypeptide 69	protein-coding	5.0	2.0
34	chr19	42800000	42850000	chr19	43350000	43400000		intron (NM_001081257, intron 9 of 11)	Lx10|LINE|L1	-45022	NM_001346703	192236.0	Mm.218381	NM_019424	ENSMUSG00000025188	Hps1	6030422N11Rik|BB405864|Gm21361|Hps|ep	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1	protein-coding	intron (NM_001081257, intron 2 of 11)	intron (NM_001081257, intron 2 of 11)	13355	NM_001081257	545291.0	Mm.442200	NM_001081257	ENSMUSG00000074852	Hpse2	Gm968|Hpa2	heparanase 2	protein-coding	-9.0	3.0
35	chr19	43500000	43550000	chr19	43650000	43700000		promoter-TSS (NM_010324)	promoter-TSS (NM_010324)	-395	NM_010324	14718.0	Mm.19039	NM_010324	ENSMUSG00000025190	Got1	AI789014|Got-1|cAspAT|cCAT	glutamic-oxaloacetic transaminase 1, soluble	protein-coding	promoter-TSS (NR_045645)	promoter-TSS (NR_045645)	-119	NM_145156	246696.0	Mm.23827	NM_145156	ENSMUSG00000040414	Slc25a28	Mfrn2|Mrs3/4	solute carrier family 25, member 28	protein-coding	-0.0	-0.0
36	chr19	45300000	45350000	chr19	47150000	47200000		Intergenic	Intergenic	-38734	NM_001037758	12234.0	Mm.119717	NM_009771	ENSMUSG00000025217	Btrc	Beta-Trcp1|E3RS-IkappaB|E3RSIkappaB|FWD1|Fbw1a|HOS|SCF b-TRCP|Slimb|b-TrCP|beta-TrCP	beta-transducin repeat containing protein	protein-coding	Intergenic	B4A|SINE|B4	-3820	NM_021360	18011.0	Mm.313651	NM_021360	ENSMUSG00000006435	Neurl1a	2410129E16Rik|AI450910|AI481072|Neu1|Neur1|Neurl|Neurl1|Nlz|Rnf67	neuralized E3 ubiquitin protein ligase 1A	protein-coding	-8.0	-1.0
37	chr19	45550000	45600000	chr19	45700000	45750000		intron (NM_172639, intron 4 of 5)	intron (NM_172639, intron 4 of 5)	14415	NM_172639	226162.0	Mm.21978	NM_172639	ENSMUSG00000041035	Dpcd	Ndac	deleted in primary ciliary dyskinesia	protein-coding	Intergenic	Intergenic	5558	NR_045307	71232.0	Mm.50944	NR_045307		4933429K18Rik	-	RIKEN cDNA 4933429K18 gene	ncRNA	3.0	1.0
38	chr19	46100000	46150000	chr19	46250000	46300000		Intergenic	Intergenic	-6899	NM_007703	12686.0	Mm.21806	NM_007703	ENSMUSG00000038754	Elovl3	CIN-2|Cig30	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	protein-coding	intron (NM_178930, intron 29 of 39)	intron (NM_178930, intron 29 of 39)	-29737	NM_001177369	18034.0	Mm.102365	NM_019408	ENSMUSG00000025225	Nfkb2	NF-kappaB2|lyt|p49|p49/p100|p50B|p52	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100	protein-coding	-1.0	-6.0
39	chr19	53400000	53450000	chr19	53550000	53600000		Intergenic	Intergenic	-34366	NM_172429	76479.0	Mm.313687	NM_172429	ENSMUSG00000025024	Smndc1	-	survival motor neuron domain containing 1	protein-coding	Intergenic	Intergenic	-25396	NM_007790	13006.0	Mm.14910	NM_007790	ENSMUSG00000024974	Smc3	Bamacan|Cspg6|HCAP|Mmip1|SMC-3|SmcD	structural maintenance of chromosomes 3	protein-coding	-7.0	-5.0
40	chr19	55400000	55450000	chr19	56250000	56300000		intron (NM_001360431, intron 6 of 8)	intron (NM_001360431, intron 6 of 8)	108943	NM_001360432	53611.0	Mm.258637	NM_016862	ENSMUSG00000024983	Vti1a	1110014F16Rik|1110018K19Rik|4921537J05Rik|MVti1|MVti1a|Vti1|Vti1-rp2	vesicle transport through interaction with t-SNAREs 1A	protein-coding	Intergenic	Intergenic	-12912	NM_001329935	226243.0	Mm.25791	NM_146101	ENSMUSG00000025075	Habp2	AI035669|FSAP|HABP|HGFAL|PHBP	hyaluronic acid binding protein 2	protein-coding	22.0	-3.0
41	chr19	56400000	56450000	chr19	56750000	56800000		intron (NM_007611, intron 2 of 6)	intron (NM_007611, intron 2 of 6)	27871	NM_007611	12369.0	Mm.35687	NM_007611	ENSMUSG00000025076	Casp7	AI314680|CMH-1|ICE-IAP3|Mch3|caspase-7|mCASP-7	caspase 7	protein-coding	Intergenic	Intergenic	47199	NM_170757	213993.0	Mm.469677	NM_170757	ENSMUSG00000035173	Ccdc186	1810028B20Rik|A630007B06Rik|AI159700|Otg1	coiled-coil domain containing 186	protein-coding	6.0	9.0
42	chr19	58050000	58100000	chr19	58450000	58500000		intron (NM_181415, intron 28 of 28)	intron (NM_181415, intron 28 of 28)	23833	NR_049196	100885835.0		NR_049196	ENSMUSG00000093757	Mir5623	Gm26068|mir-5623|mmu-mir-5623	microRNA 5623	ncRNA	Intergenic	ORR1A1|LTR|ERVL-MaLR	-19602	NM_010279	14585.0	Mm.88367	NM_010279	ENSMUSG00000025089	Gfra1	AU042498	glial cell line derived neurotrophic factor family receptor alpha 1	protein-coding	5.0	-4.0
43	chr19	59350000	59400000	chr19	60150000	60200000		Intergenic	Intergenic	-29220	NM_001033222	107368.0	Mm.27250	NM_001033222	ENSMUSG00000074746	Pdzd8	A630041P07Rik|AV329468|AW228944|Pdzk8	PDZ domain containing 8	protein-coding	Intergenic	Intergenic	30325	NR_026942	107376.0	Mm.245813	NR_026942	ENSMUSG00000053117	E330013P04Rik	9930018I18Rik|AW492152	RIKEN cDNA E330013P04 gene	ncRNA	-6.0	6.0
44	chr19	60800000	60850000	chr19	61050000	61100000		intron (NM_001360619, intron 4 of 7)	intron (NM_001360619, intron 4 of 7)	13445	NM_026437	67894.0	Mm.26148	NM_026437	ENSMUSG00000024993	Fam45a	1810055E12Rik	family with sequence similarity 45, member A	protein-coding	intron (NM_018869, intron 8 of 15)	L1_Mus2|LINE|L1	65840	NM_001309216	414758.0	Mm.100056	NM_001001737	ENSMUSG00000074733	Zfp950	5830428H23Rik|AU016073|BC055757|Gm34518|Zfp826|mszf84	zinc finger protein 950	protein-coding	3.0	13.0
45	chr17	5350000	5400000	chr17	7200000	7250000		Intergenic	L1M4|LINE|L1	43767	NM_175349	106557.0	Mm.432764	NM_175349	ENSMUSG00000101959	Ldhal6b	4933402O15Rik|AI326310|LDHL|Ldhal	lactate dehydrogenase A-like 6B	protein-coding	intron (NM_011299, intron 1 of 20)	L1VL4|LINE|L1	54885	NM_011299	20112.0	Mm.268383	NM_011299	ENSMUSG00000023809	Rps6ka2	90kDa|D17Wsu134e|Rps6ka-rs1|Rsk3|p90rsk|pp90rsk	ribosomal protein S6 kinase, polypeptide 2	protein-coding	9.0	11.0
46	chr17	5400000	5450000	chr17	5700000	5750000		intron (NM_027457, intron 3 of 3)	intron (NM_027457, intron 3 of 3)	-6233	NM_175349	106557.0	Mm.432764	NM_175349	ENSMUSG00000101959	Ldhal6b	4933402O15Rik|AI326310|LDHL|Ldhal	lactate dehydrogenase A-like 6B	protein-coding	intron (NM_146073, intron 5 of 8)	intron (NM_146073, intron 5 of 8)	-73657	NR_045081	78512.0	Mm.23696	NR_045079	ENSMUSG00000096965	3300005D01Rik	-	RIKEN cDNA 3300005D01 gene	ncRNA	-1.0	-15.0
47	chr17	6400000	6450000	chr17	6650000	6700000		intron (NR_163600, intron 1 of 11)	intron (NR_163600, intron 1 of 11)	1942	NR_163600	101055731.0	Mm.483766	NR_163600		Gm29719	-	synaptotagmin-like 3 pseudogene	pseudo	intron (NM_031395, intron 1 of 14)	intron (NM_031395, intron 1 of 14)	1390	NM_031395	83672.0	Mm.442201	NM_031395	ENSMUSG00000041831	Sytl3	A430092N21|Slp3|Slp3-a|Slp3-b|mFLJ00307	synaptotagmin-like 3	protein-coding	0.0	0.0
48	chr17	7000000	7050000	chr17	8100000	8150000		promoter-TSS (NM_001033442)	promoter-TSS (NM_001033442)	-543	NM_001033442	381059.0	Mm.490353	NM_001033442	ENSMUSG00000094083	Gm1604b	Gm1604	predicted gene 1604b	protein-coding	Intergenic	Intergenic	22787	NM_001364952	100037283.0	Mm.426736	NM_001083938	ENSMUSG00000095687	Rnaset2a	0610007O07Rik|4833423A10Rik|4930532K22Rik|C79750|RNASE6PL|Rnaset2	ribonuclease T2A	protein-coding	-0.0	5.0
